# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_lower_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_lower_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6234.77,0.707716,0.0615694,1,0,56.594,20.9849,96.6032,52.0233,17.1753,14.4752,42.9396,11.0319,52.274,113.121,40.9158,4.47581,0.211471,0.19487
-6237.02,0.860359,0.0529258,1,0,56.7931,23.2837,92.6256,48.7499,17.9581,13.8854,44.4364,9.45588,49.0179,111.776,37.8296,4.75305,0.202131,0.189027
-6237.02,0.0296193,0.0606228,2,0,56.7931,23.2837,92.6256,48.7499,17.9581,13.8854,44.4364,9.45588,49.0179,111.776,37.8296,4.75305,0.202131,0.189027
-6237.96,0.984026,0.0147358,4,0,61.3572,21.2719,101.212,51.0659,21.325,15.6274,46.2821,14.6523,51.9894,121.19,50.4896,4.39045,0.216806,0.212622
-6233.95,0.989607,0.0213226,3,0,61.4462,18.2279,103.232,52.1346,20.6029,15.6506,46.019,12.2032,54.6455,113.421,44.6257,3.99441,0.20712,0.211207
-6234.04,0.905832,0.0310727,2,0,59.4902,17.2091,92.3108,51.8051,20.4794,15.8589,44.1692,11.1947,50.0136,113.623,44.7298,4.26084,0.215006,0.208977
-6233.24,0.937019,0.0386832,1,0,62.4642,17.4804,99.2733,52.5345,18.4798,15.1786,44.7964,10.7787,52.0636,112.361,40.5981,4.3809,0.204595,0.199166
-6236,0.781051,0.0508934,2,0,50.9156,14.3836,92.0475,49.0118,18.6735,13.4483,41.383,12.2728,47.6915,105.613,45.1442,5.27932,0.207494,0.205207
-6234.72,0.586133,0.0502474,2,0,65.7986,23,97.6079,48.9015,19.8802,15.3291,46.6759,11.3487,51.4741,117.748,45.5799,3.96224,0.205699,0.196324
-6235.61,0.991246,0.556905,2,0,61.3323,20.0392,102.175,48.9501,19.19,15.3464,46.2531,13.754,51.4795,120.718,46.6892,3.76011,0.202063,0.198972
-6235.61,0,7.88486,-1,1,61.3323,20.0392,102.175,48.9501,19.19,15.3464,46.2531,13.754,51.4795,120.718,46.6892,3.76011,0.202063,0.198972
-6235.61,0.000574249,1.32628,0,0,61.3323,20.0392,102.175,48.9501,19.19,15.3464,46.2531,13.754,51.4795,120.718,46.6892,3.76011,0.202063,0.198972
-6233.76,0.997944,0.130662,4,0,58.1804,17.4743,97.9656,51.9009,19.9063,15.7939,48.3416,11.5306,53.8949,117.683,42.8972,4.09508,0.209619,0.196567
-6233.87,0.99878,0.175417,4,0,61.0886,18.3747,104.253,51.8167,20.9545,16.7992,45.107,12.1255,52.93,118.725,47.5278,5.16026,0.206127,0.210525
-6238.8,0.969854,0.272981,3,0,68.9503,17.4303,100.895,50.4145,20.5033,14.0734,48.8397,12.7426,57.0293,122.542,43.8467,5.51315,0.208007,0.189327
-6235.71,0.997589,0.423313,2,0,61.4094,13.4793,103.56,51.2459,19.0352,13.92,48.1723,11.7718,56.3344,121.009,47.1711,5.23988,0.203139,0.200054
-6232.8,0.998573,0.750241,1,0,64.4502,18.2026,103.923,52.2809,18.7784,15.0203,46.6962,12.691,53.7813,120.226,44.6917,5.14196,0.204983,0.210551
-6232.8,7.60544e-09,1.37348,0,0,64.4502,18.2026,103.923,52.2809,18.7784,15.0203,46.6962,12.691,53.7813,120.226,44.6917,5.14196,0.204983,0.210551
-6240.81,0.977532,0.109073,3,0,64.6217,19.2815,100.5,53.1914,17.879,14.8986,47.7482,11.7292,57.1577,115.781,54.0776,4.66456,0.207446,0.21533
-6240.3,1,0.190178,3,0,58.4386,18.5578,99.7387,50.7898,18.9533,15.065,47.1573,10.7323,49.2288,120.291,37.3912,5.36433,0.193904,0.190723
-6236.6,1,0.359074,2,0,59.71,21.6406,98.2229,50.6111,20.7609,16.3288,46.287,12.8526,53.6521,119.064,48.9196,5.33343,0.202098,0.179907
-6240.4,0.850149,0.679677,2,0,64.5915,17.1263,101.207,45.4021,19.6307,16.2263,47.2665,12.1129,53.7132,122.455,43.3875,4.11307,0.204141,0.174139
-6238.26,0.729156,0.802832,1,0,58.3164,19.8962,99.9912,53.3662,20.0415,13.2992,46.6242,12.1206,51.6774,112.962,40.356,5.41279,0.199767,0.22229
-6238.26,0.769785,0.650594,1,0,58.3164,19.8962,99.9912,53.3662,20.0415,13.2992,46.6242,12.1206,51.6774,112.962,40.356,5.41279,0.199767,0.22229
-6236.47,0.977348,0.600527,2,0,59.912,16.2633,101.29,53.0729,18.9544,16.4817,46.6355,12.6181,54.022,120.491,49.8974,4.97315,0.21746,0.193865
-6236.58,0.834463,1.0525,1,0,58.0798,21.431,106.076,55.7237,18.5311,16.3764,49.6717,13.252,56.5963,122.751,44.5574,5.32209,0.202219,0.210397
-6237.65,0.264916,1.18383,1,0,64.5927,16.6054,102.01,55.8579,20.9173,14.88,48.9124,11.0003,53.9862,127.753,44.2091,4.04483,0.197718,0.189752
-6237.12,0.999878,0.236742,3,0,64.8138,16.274,103.144,55.9174,20.8806,15.2377,49.24,10.7307,54.6581,127.878,44.5965,4.20551,0.197631,0.192134
-6234.25,0.969968,0.442826,2,0,57.2998,21.5477,99.8237,49.0301,20.859,14.0206,45.4532,13.7739,53.1695,115.008,41.2631,4.97571,0.205359,0.207406
